index,source,target
0,{/c}Loading World Select.,
1,{/c}Preparing Network.,
2,{/c}Preparing Quest.,
3,{/c}Returning to Public Bar... Please wait.,
4,{/c}Returning to Arena... Please wait.,
5,{/c}Returning to His Immenseness... Please wait.,
6,{/c}Returning to Town... Please wait.,
7,"




{/c}A connection will be made using the above ID.
Is this OK?
",
8,"{/c}Connect after receiving new ID.
A maximum of 3 IDs can be received.
Is this OK?",
9,{/c}Logging Out.,
10,{/c}Disconnecting due to idleness.,
11,"{/c}一定時間入力が無かったため
回線を切断しました。",
12,"{/c}Preparing to log out.
Please wait.",
13,{/c}Disconnected due to instability.,
14,"{/c}       回線が不安定なため       
サーバーから切断されました。",
15,{/c}Insufficient Hunter Rank.,
16,{/c}Entering Mezeporta Square.,
17,{/c}Moving to Mezeporta Square.,
18,"{/c}Failed to move to Mezeporta Square.
Disconnected from network.",
19,"{/c}Failed to swap rooms.
Returning to original location.",
20,"{/c}Cannot enter, area full.",
21,"{/c}Failed to swap servers.
Returning to original location.",
22,{/c}Could not return to Mezeporta Square.,
23,{/c}Selected Mezeporta Square unavailable.,
24,{/c}Cannot move from current Square.,
25,{/c}No where to move to.,
26,{/c}Moving to Mezeporta Square.,
27,{/c}World info received.,
28,{/c}Quest search failed.,
29,{/c}Moving…,
30,"


{/c}The above player will be deleted from the list.
Is this OK?",
31,"
 

{/c} was deleted. 
",
32,{/c}Searching for players...,
33,{/c}No Results Found.,
34,{/c}Failed to search for specified criteria.,
35,{/c}Please enter your 6 digit ID.,
36,{/c}Please enter a name with 1 or more characters.,
37,"


{/c}Add the above player to your Friend List?",
38,{/c}You cannot join your own Friend List.,
39,{/c}You cannot send to yourself.,
40,{/c}Friend List registration canceled.,
41,{/c}Friend List registration complete.,
42,{/c}Friend List overwriting complete.,
43,"{/c}Is it OK to overwrite your Friend List in order to
register this player?",
44,"{/c}You will make a new Friend List registration.
Is this OK?",
45,"You do not have enough space on your Friend List to
register any more players. You will have to erase
existing data before registering any new players.",
46,"


{/c}上記のプレイヤーの申請または登録を選択してください

カプリンクでカプトモ申請をする
MHFフレンドに登録する
",
47,{/c}カプトモ申請が完了しました。,
48,{/c}既にカプトモ登録されています。,
49,{/c}何らかのエラーが発生しました。(1),
50,{/c}対象のCOGアカウントが見つからないので申請できません。,
51,{/c}カプトモパスが正しくありません。,
52,"{/c}カプトモパスを入力せずにゲームを開始します。
よろしいですか？",
53,"{/c}カプトモパスの入力を中止します。
よろしいですか？",
54,{/c}カプトモ申請済みです。,
55,{/c}カプトモ申請数の上限に達しています。,
56,{/c}既にカプトモです。,
57,{/c}カプトモ数の上限に達しています。,
58,"{/c}カプトーク一覧から削除します。
よろしいですか？",
59,"{/c}招待を削除します。
よろしいですか？",
60,{/c}You're unable to jump to this location.,
61,"


{/c}The player displayed above will be registered on your
Blacklist and you will not receive Messages or Chat
messages from them. Is this OK?",
62,{/c}Blacklist registration canceled.,
63,{/c}Blacklist registration complete.,
64,{/c}Blacklist overwriting complete.,
65,"{/c}Is it OK to overwrite your Blacklist in order to
register this player?",
66,"{/c}You will make a new Blacklist registration.
Is this OK?",
67,"You do not have enough space on your Blacklist to
register any more players. You will have to erase
existing data before registering any new players.",
68,"


The above player will be deleted from your Blacklist.
Is this OK?",
69,{/c}Deletion canceled.,
70,{/c}Deleted.,
71,"{/c}You've already selected eight players.
You cannot select any more.",
72,{/c}Message sent.,
73,"{/c}The game will close.
Are you sure?",
74,"{/c}You're heading for the village (single player mode).
Is this OK?",
75,"{/c}The game will close.
Are you sure?",
76,"{/c}Returning to land selection.
Are you sure?",
77,{/c}Specified player is offline.,
78,"{/c}Sending short mail.
Are you sure?",
79,{/c}All searches failed.,
80,{/c}ID is invalid.,
81,{/c}Sending mail…,
82,{/c}You cannot send mail to yourself.,
83,{/c}Already entered.,
84,{/c}Do you want to jump?,
85,{/c}Would you like to join this group?,
86,{/c}Selected group has been disbanded.,
87,{/c}Selected group is full.,
88,{/c}Initializing…,
89,"{/c}<Send Message>
 




",
90,"{/c}
 Select From Friend List

Enter ID


{k01}: Back {k00}: Confirm
",
91,"{/c}
 Enter Name 

Select From Friend List


{k01}: Back {k00}: Confirm
",
